"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",286,12,153,32,573
"BRAC",327,23,249,36,1100
"North Texas RAC",300,15,129,3,839
"Big Country RAC",246,13,101,3,578
"North Central Texas RAC",1827,220,2237,554,13247
"Northeast Texas RAC",387,35,97,18,560
"Piney Woods RAC",821,36,313,72,1866
"Deep East Texas RAC",172,18,127,29,358
"Far West Texas & Southern New Mexico RAC",332,46,290,176,1558
"Texas ""J"" RAC",630,26,269,36,817
"Concho Valley RAC",322,19,134,5,346
"Central Texas RAC",132,17,124,48,895
"Central Texas RAC",158,8,73,16,445
"Brazos Valley RAC",117,9,86,33,377
"Capital Area Trauma RAC",596,56,346,191,3532
"Southwest Texas RAC",662,82,848,236,5034
"Southeast Texas Trauma RAC",1421,105,1397,994,12075
"East Texas Gulf Coast RAC",259,11,269,146,1515
"Golden Crescent RAC",216,19,65,37,322
"Seven Flags RAC",58,8,58,24,357
"Coastal Bend RAC",634,40,192,56,1014
"Lower Rio Grande Valley RAC",841,77,457,184,2212
