"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1176,379,9,129,184,613
"B",1541,380,19,191,244,917
"C",1242,370,10,106,72,800
"D",910,270,1,74,39,601
"E",14439,2221,259,2092,1262,10956
"F",1016,373,14,67,102,541
"G",2785,733,22,296,225,1827
"H",631,192,13,102,44,395
"I",2132,374,16,284,484,1274
"J",1721,645,37,223,127,949
"K",507,179,15,67,33,295
"L",1196,323,33,123,42,831
"M",568,171,8,62,62,335
"N",594,154,10,60,42,398
"O",3735,562,66,523,107,3066
"P",6181,1447,194,824,166,4568
"Q",14343,2305,222,1496,552,11486
"R",1768,224,7,222,131,1413
"S",534,205,38,74,26,303
"T",437,69,17,92,57,311
"U",1703,621,63,229,85,997
"V",3256,1092,55,382,233,1931
