TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,956,250,8,151,26
B,1551,348,21,241,36
C,1211,279,4,101,10
D,885,226,5,99,11
E,15611,1814,196,2155,534
F,1044,398,46,75,39
G,2858,711,47,240,80
H,486,164,18,101,9
I,1938,292,29,278,49
J,1774,716,34,277,23
K,864,362,20,92,3
L,1091,137,12,124,28
M,653,181,22,58,18
N,565,81,10,81,33
O,4695,704,37,347,116
P,7392,824,99,803,215
Q,16246,1731,153,1241,422
R,1731,221,11,234,94
S,587,180,8,55,25
T,451,53,0,84,15
U,1657,512,34,193,60
V,3121,760,40,403,115
