TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,928,219,8,125,140
B,1427,230,9,192,255
C,1189,247,3,102,81
D,901,205,0,82,114
E,16052,1258,80,1868,2882
F,840,139,6,113,174
G,2762,548,15,160,575
H,527,93,5,77,117
I,1990,240,23,262,108
J,1669,551,24,249,251
K,871,363,13,104,63
L,1095,83,2,110,244
M,599,73,0,34,175
N,542,32,0,71,126
O,4076,430,4,324,682
P,6821,529,56,607,1363
Q,14646,1425,55,1231,3126
R,1799,102,0,163,541
S,556,96,3,39,146
T,426,13,0,59,90
U,1507,118,0,91,494
V,2813,374,16,307,655
