TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,952,269,7,153,19
B,1582,383,25,258,21
C,1212,259,4,100,11
D,883,247,4,106,9
E,15471,1882,193,2127,350
F,1021,401,46,81,35
G,2899,811,44,233,54
H,467,162,16,96,8
I,1945,326,29,248,43
J,1696,668,29,262,12
K,879,377,26,100,0
L,1083,120,12,96,21
M,679,187,11,62,12
N,562,118,7,82,31
O,4335,684,81,365,59
P,6311,863,97,791,156
Q,14190,1805,158,1422,368
R,1608,241,24,242,53
S,606,254,18,57,17
T,433,35,0,67,20
U,1713,618,39,188,31
V,3012,806,46,412,98
