TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,960,267,14,156,22
B,1550,343,29,232,41
C,1249,295,6,102,9
D,935,235,4,100,17
E,16123,1809,224,2159,387
F,1068,374,39,86,22
G,2856,740,51,268,75
H,539,78,8,126,20
I,2119,349,46,248,82
J,1755,653,22,300,32
K,875,346,19,113,11
L,1089,128,14,103,24
M,637,126,10,69,21
N,573,75,4,64,28
O,4386,585,49,361,109
P,6332,677,84,791,158
Q,14534,1595,137,1358,551
R,1852,248,12,264,66
S,632,222,13,53,43
T,434,35,3,72,13
U,1685,639,40,199,41
V,3037,665,49,438,127
