TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,943,280,13,154,24
B,1619,437,43,258,27
C,1235,294,9,108,5
D,932,245,7,100,12
E,15628,1961,222,2237,292
F,1034,377,42,84,30
G,2912,780,60,268,60
H,544,126,14,121,17
I,2067,385,33,249,53
J,1772,698,38,302,15
K,872,357,22,99,7
L,1179,215,15,115,22
M,665,158,8,67,18
N,516,83,3,68,25
O,4368,664,73,369,86
P,6352,848,119,808,134
Q,14283,1814,132,1495,435
R,1722,257,20,267,42
S,590,224,19,50,31
T,433,64,2,73,17
U,1712,653,39,181,43
V,3004,745,55,441,112
