"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1172,372,6,128,193,607
"B",1472,324,12,192,245,903
"C",1232,363,12,109,87,782
"D",943,287,2,77,46,610
"E",14456,2139,243,1963,1341,10976
"F",1005,384,11,69,105,516
"G",2248,440,22,309,233,1575
"H",536,156,6,92,29,351
"I",2103,345,17,281,516,1242
"J",1677,620,31,221,123,934
"K",249,128,0,61,43,78
"L",1231,311,34,120,42,878
"M",619,164,7,61,58,397
"N",615,110,8,56,42,463
"O",4136,791,65,533,104,3241
"P",6209,1432,198,828,247,4530
"Q",14827,2241,205,1544,597,11989
"R",1873,199,11,246,131,1543
"S",555,203,41,72,23,329
"T",442,82,15,68,51,309
"U",1651,597,64,225,84,970
"V",3242,1091,59,383,248,1903
