TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases,Date,Hospital_Beds_Taken
A,1039,355,38,114,25,7/1/20,659
B,1272,340,26,122,72,7/1/20,860
C,564,254,17,39,11,7/1/20,299
D,964,435,16,59,10,7/1/20,519
E,14943,3184,455,1330,1411,7/1/20,10348
F,1360,782,92,84,38,7/1/20,540
G,1963,559,87,235,79,7/1/20,1325
H,525,188,10,104,35,7/1/20,302
I,1848,422,39,269,177,7/1/20,1249
J,1287,458,34,214,59,7/1/20,770
K,462,177,13,34,15,7/1/20,270
L,1035,237,17,101,40,7/1/20,758
M,589,186,18,62,31,7/1/20,372
N,491,144,10,44,54,7/1/20,293
O,3326,768,96,376,404,7/1/20,2154
P,5554,1066,122,523,1091,7/1/20,3397
Q,13127,2049,162,1252,2139,7/1/20,8939
R,1799,313,10,216,318,7/1/20,1168
S,549,165,16,46,62,7/1/20,322
T,436,78,9,57,82,7/1/20,276
U,1379,315,8,163,163,7/1/20,901
V,2715,419,27,178,588,7/1/20,1708
