TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1018,233,19,120,133
B,1504,283,11,182,171
C,1208,291,2,83,89
D,983,240,2,79,92
E,16493,1255,64,1838,2014
F,854,150,13,79,132
G,2779,596,14,281,447
H,493,127,8,84,109
I,2022,221,8,271,113
J,1665,529,13,290,147
K,863,325,9,136,42
L,1126,125,9,162,124
M,647,71,0,58,100
N,586,48,0,76,80
O,4263,619,36,434,320
P,6690,745,96,730,601
Q,15275,1491,85,1250,1616
R,1950,253,11,290,226
S,636,220,11,63,85
T,448,39,6,91,19
U,1320,84,12,162,213
V,2931,544,34,350,244
