"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",440127,1109,340,24,167
"B",513580,1585,369,29,242
"C",219793,1274,342,11,131
"D",306972,971,251,2,86
"E",8080080,16972,1584,125,1846
"F",273329,1087,376,22,74
"G",968611,3083,762,37,303
"H",272151,534,134,13,81
"I",881765,2234,389,35,329
"J",526736,1757,588,41,235
"K",179457,829,295,17,140
"L",490708,1172,141,19,87
"M",346651,679,147,3,60
"N",360335,632,92,3,58
"O",2375407,4277,721,53,325
"P",2945792,6980,938,81,628
"Q",6688587,14552,1546,96,1230
"R",1309237,2022,323,14,253
"S",186672,690,279,13,58
"T",295669,514,41,10,71
"U",630897,1724,518,21,193
"V",1385112,3476,708,44,384
