TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,971,240,4,151,25
B,1551,361,33,244,24
C,1225,280,3,99,13
D,915,224,9,104,8
E,15698,1736,193,2147,475
F,1049,419,42,76,29
G,2829,738,42,235,68
H,550,173,21,116,13
I,2062,316,29,251,47
J,1781,719,35,276,17
K,872,346,19,108,7
L,1101,148,20,103,45
M,654,135,19,56,20
N,558,84,5,77,33
O,4681,679,43,359,103
P,6314,726,78,814,178
Q,14224,1797,167,1534,476
R,1791,221,6,270,75
S,595,186,12,56,21
T,478,38,0,69,17
U,1665,516,35,197,52
V,3094,730,54,402,105
