"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",278,15,151,35,578
"BRAC",364,27,246,36,1081
"North Texas RAC",323,13,134,4,846
"Big Country RAC",234,6,100,12,601
"North Central Texas RAC",1730,228,2209,567,13222
"Northeast Texas RAC",423,38,93,26,574
"Piney Woods RAC",860,35,318,74,1914
"Deep East Texas RAC",195,9,126,31,368
"Far West Texas & Southern New Mexico RAC",389,68,303,180,1571
"Texas ""J"" RAC",647,26,265,34,846
"Concho Valley RAC",353,30,130,4,326
"Central Texas RAC",111,13,121,48,934
"Central Texas RAC",115,10,66,24,465
"Brazos Valley RAC",85,10,84,24,393
"Capital Area Trauma RAC",777,76,349,182,3443
"Southwest Texas RAC",675,91,820,241,5013
"Southeast Texas Trauma RAC",1572,121,1381,963,12449
"East Texas Gulf Coast RAC",312,10,274,153,1588
"Golden Crescent RAC",243,26,65,36,305
"Seven Flags RAC",77,10,90,14,349
"Coastal Bend RAC",612,27,196,63,1017
"Lower Rio Grande Valley RAC",959,139,448,180,2187
