TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,951,265,11,157,22
B,1567,372,31,226,45
C,1226,290,5,102,10
D,895,230,6,101,17
E,15978,1866,207,2256,400
F,1046,364,41,90,19
G,2833,748,50,251,85
H,463,77,8,101,27
I,2098,352,44,263,87
J,1715,656,21,302,31
K,872,346,17,107,13
L,1093,126,17,99,27
M,622,140,14,67,18
N,592,70,3,61,26
O,4328,605,55,373,112
P,6195,716,96,777,157
Q,14345,1724,142,1469,559
R,1756,209,12,253,75
S,621,227,17,50,43
T,403,34,2,71,12
U,1706,659,26,213,40
V,2938,672,49,434,137
