TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,978,272,8,153,20
B,1599,381,24,238,26
C,1210,257,4,100,9
D,929,227,10,111,10
E,15920,1799,205,2182,351
F,1025,378,46,81,31
G,2920,747,36,224,55
H,542,134,19,113,9
I,1967,328,32,250,39
J,1704,662,33,270,13
K,878,366,24,108,1
L,1124,117,11,106,21
M,670,177,11,60,12
N,577,92,10,86,24
O,4426,691,67,360,69
P,6412,791,75,796,160
Q,13822,1647,146,1511,372
R,1590,215,17,238,44
S,615,265,24,56,17
T,445,35,0,67,21
U,1716,594,34,188,34
V,2960,793,49,408,92
