TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1063,227,20,119,156
B,1487,248,4,167,208
C,1206,282,5,90,91
D,992,256,1,69,99
E,16700,1242,67,1754,2493
F,834,118,3,73,138
G,2768,534,16,235,556
H,585,141,4,77,118
I,2026,205,4,281,110
J,1675,538,14,289,185
K,865,320,9,136,57
L,1114,116,7,141,160
M,623,59,2,69,151
N,600,37,0,76,100
O,4383,619,17,420,384
P,6748,731,88,742,731
Q,15435,1496,92,1274,1982
R,1837,182,1,336,286
S,600,160,4,57,106
T,440,15,4,83,30
U,1289,64,0,181,247
V,2943,619,41,351,275
