"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",306,34,140,23,606
"BRAC",436,53,254,39,1005
"North Texas RAC",329,12,126,10,839
"Big Country RAC",290,9,105,13,551
"North Central Texas RAC",2026,244,2256,550,12778
"Northeast Texas RAC",435,31,89,18,548
"Piney Woods RAC",1029,62,342,59,1779
"Deep East Texas RAC",199,10,123,25,352
"Far West Texas & Southern New Mexico RAC",401,59,304,154,1499
"Texas ""J"" RAC",637,30,268,23,841
"Concho Valley RAC",353,16,143,4,321
"Central Texas RAC",130,11,115,44,886
"Central Texas RAC",116,13,58,18,447
"Brazos Valley RAC",119,3,78,45,374
"Capital Area Trauma RAC",855,96,360,181,3461
"Southwest Texas RAC",930,104,834,217,4759
"Southeast Texas Trauma RAC",1905,104,1502,1018,11486
"East Texas Gulf Coast RAC",338,12,254,129,1237
"Golden Crescent RAC",325,15,70,22,265
"Seven Flags RAC",78,9,90,7,328
"Coastal Bend RAC",562,22,197,75,1024
"Lower Rio Grande Valley RAC",992,125,436,166,2150
