"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1152,234,7,147,353
"B",1545,238,10,188,434
"C",1241,314,12,114,111
"D",930,238,2,72,157
"E",16137,1406,71,1821,2627
"F",1116,407,9,68,133
"G",3132,776,29,241,461
"H",522,186,9,84,91
"I",2390,505,68,323,551
"J",1768,562,43,223,254
"K",851,294,18,105,95
"L",1205,270,23,104,132
"M",588,71,2,78,122
"N",606,152,10,60,63
"O",4425,758,43,528,346
"P",6565,889,88,721,818
"Q",14116,1942,130,1514,1482
"R",1488,207,7,201,285
"S",445,213,11,66,69
"T",436,34,4,68,135
"U",1647,548,27,189,159
"V",3389,924,76,394,352
