TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,958,266,13,150,28
B,1568,351,19,241,43
C,1228,283,10,110,13
D,907,251,10,94,12
E,16206,2117,281,2292,475
F,1080,363,45,97,16
G,2954,858,40,257,75
H,549,120,12,126,19
I,2070,317,33,259,102
J,1726,681,29,268,35
K,872,367,18,84,4
L,1130,141,14,100,38
M,633,140,13,73,23
N,586,90,6,70,23
O,4435,673,75,357,126
P,6388,706,96,766,220
Q,14534,1583,121,1588,704
R,1719,253,15,253,71
S,637,249,15,64,44
T,430,54,10,84,13
U,1750,680,34,197,44
V,3097,730,79,413,159
