TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,988,259,6,151,21
B,1559,343,20,231,25
C,1213,240,4,100,6
D,917,231,7,110,8
E,16389,1632,181,2124,342
F,1012,337,40,81,36
G,2965,748,30,242,52
H,595,151,13,107,13
I,2049,338,28,249,48
J,1769,648,37,270,16
K,868,335,23,106,0
L,1154,115,12,93,25
M,671,138,12,58,10
N,579,72,4,91,21
O,4492,602,69,366,68
P,6463,723,79,784,165
Q,14534,1671,153,1497,410
R,1780,242,12,280,47
S,588,203,12,55,15
T,475,30,0,70,18
U,1740,624,51,202,39
V,3127,763,46,423,98
