TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,990,243,18,106,181
B,1358,231,9,232,279
C,1180,214,7,112,111
D,921,179,0,82,175
E,15843,1339,74,1853,3376
F,859,158,10,48,190
G,2691,576,11,167,776
H,546,121,9,76,181
I,1925,242,8,253,124
J,1710,519,20,221,299
K,868,346,11,120,79
L,1169,83,2,108,285
M,635,79,0,39,185
N,550,33,0,71,175
O,4081,463,5,337,708
P,6678,785,85,570,1303
Q,14213,1561,94,1082,3458
R,1857,184,0,224,564
S,592,126,4,45,168
T,434,7,2,76,86
U,1544,115,0,115,551
V,2793,387,6,246,624
