TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,972,238,9,132,73
B,1457,261,17,235,124
C,1201,280,7,105,32
D,905,217,3,90,47
E,16528,1449,130,2027,1400
F,1034,328,37,63,83
G,2830,641,43,227,206
H,575,95,13,113,43
I,2066,263,28,279,76
J,1727,622,24,254,73
K,880,355,14,90,29
L,1126,99,5,104,159
M,646,119,7,55,67
N,569,49,0,66,69
O,4627,531,13,315,369
P,6563,586,66,749,613
Q,14861,1378,93,1409,1387
R,1795,171,6,259,271
S,550,107,5,54,62
T,417,5,1,79,48
U,1700,537,41,181,156
V,3144,640,37,383,275
