"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",296,31,129,46,600
"BRAC",379,11,260,65,1039
"North Texas RAC",329,6,139,28,830
"Big Country RAC",240,2,110,34,589
"North Central Texas RAC",1706,149,2035,1336,13670
"Northeast Texas RAC",390,20,95,60,618
"Piney Woods RAC",724,25,353,183,1975
"Deep East Texas RAC",162,7,104,54,395
"Far West Texas & Southern New Mexico RAC",371,38,296,308,1576
"Texas ""J"" RAC",597,35,250,57,932
"Concho Valley RAC",325,17,149,20,326
"Central Texas RAC",91,17,113,85,937
"Central Texas RAC",131,3,62,42,452
"Brazos Valley RAC",73,10,80,51,443
"Capital Area Trauma RAC",673,62,356,300,3478
"Southwest Texas RAC",742,93,789,532,5198
"Southeast Texas Trauma RAC",1612,125,1335,1588,12282
"East Texas Gulf Coast RAC",285,12,281,216,1560
"Golden Crescent RAC",258,34,59,54,315
"Seven Flags RAC",113,15,92,37,337
"Coastal Bend RAC",490,26,178,109,1083
"Lower Rio Grande Valley RAC",954,175,463,303,2284
