TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1096,227,18,116,163
B,1511,207,11,165,236
C,1209,253,6,108,96
D,960,213,0,76,120
E,16685,1207,66,1772,2909
F,878,112,5,65,174
G,2842,556,14,194,665
H,604,97,3,67,155
I,2044,238,4,295,102
J,1698,558,13,286,202
K,856,291,4,134,72
L,1125,97,6,151,219
M,628,54,0,63,175
N,593,27,0,77,121
O,4396,551,7,408,506
P,6755,717,74,673,876
Q,15240,1409,79,1403,2370
R,1862,166,3,292,372
S,610,152,8,58,123
T,464,25,3,79,45
U,1372,59,5,157,301
V,2829,579,30,336,347
