TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,986,233,11,132,76
B,1481,272,28,235,115
C,1212,288,4,105,30
D,923,233,7,91,46
E,16327,1428,130,2063,1448
F,1042,324,35,58,124
G,2780,622,38,222,219
H,470,96,7,89,46
I,2087,267,27,274,72
J,1705,593,22,253,75
K,879,364,17,90,30
L,1117,82,5,98,151
M,640,144,11,62,62
N,589,64,1,71,77
O,4622,534,16,302,381
P,6572,584,64,738,661
Q,14399,1305,86,1417,1407
R,1771,147,8,225,252
S,567,116,3,52,69
T,436,8,4,80,49
U,1696,518,46,184,174
V,3142,682,38,375,282
