"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1054,292,23,132,53
"B",1551,419,29,266,65
"C",1274,359,14,143,31
"D",980,250,3,108,29
"E",16054,1851,169,2054,1396
"F",1095,398,14,99,66
"G",2995,775,38,360,199
"H",643,200,32,100,48
"I",2225,401,42,307,305
"J",1698,623,29,246,61
"K",854,341,22,159,16
"L",1082,138,12,113,85
"M",595,128,5,68,51
"N",600,91,13,85,55
"O",4376,709,63,328,322
"P",6569,837,96,784,546
"Q",14310,1753,152,1279,1532
"R",1997,376,16,350,233
"S",634,247,26,61,65
"T",498,112,28,84,39
"U",1736,557,24,172,101
"V",3488,1129,197,445,313
