"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1218,384,8,116,239,595
"B",1553,349,17,193,309,895
"C",1256,359,13,111,88,809
"D",921,284,2,79,37,600
"E",14876,2024,265,1971,1406,11446
"F",1041,381,20,72,115,545
"G",2852,684,26,297,238,1930
"H",608,138,9,123,42,428
"I",2156,299,13,268,783,1074
"J",1739,598,31,226,125,1016
"K",568,224,15,63,33,311
"L",1236,282,32,116,38,916
"M",620,161,9,67,47,412
"N",546,106,2,55,50,390
"O",4316,828,74,532,140,3348
"P",6541,1332,187,830,268,4941
"Q",14823,2153,184,1437,673,11997
"R",1937,278,19,243,147,1512
"S",547,170,33,74,28,349
"T",485,68,12,92,65,352
"U",1709,595,68,248,93,1021
"V",3338,1021,79,401,242,2075
