"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",309,22,129,46,643
"BRAC",350,16,263,64,995
"North Texas RAC",323,5,144,22,858
"Big Country RAC",236,3,112,39,618
"North Central Texas RAC",1799,200,2058,1221,13740
"Northeast Texas RAC",398,29,93,48,594
"Piney Woods RAC",664,21,355,179,2088
"Deep East Texas RAC",154,6,99,47,413
"Far West Texas & Southern New Mexico RAC",316,27,296,294,1638
"Texas ""J"" RAC",550,32,273,51,955
"Concho Valley RAC",321,18,157,18,335
"Central Texas RAC",92,9,112,69,942
"Central Texas RAC",123,11,64,43,457
"Brazos Valley RAC",81,11,78,49,459
"Capital Area Trauma RAC",660,53,345,258,3620
"Southwest Texas RAC",904,105,808,479,5130
"Southeast Texas Trauma RAC",1578,113,1345,1468,12665
"East Texas Gulf Coast RAC",290,17,347,213,1536
"Golden Crescent RAC",284,24,62,49,301
"Seven Flags RAC",125,18,89,33,326
"Coastal Bend RAC",596,38,189,106,1098
"Lower Rio Grande Valley RAC",980,207,437,269,2233
