TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1066,237,13,106,178
B,1419,236,9,166,247
C,1172,218,2,112,130
D,940,204,1,85,167
E,16383,1270,62,1922,3318
F,876,114,3,49,201
G,2833,508,10,157,755
H,565,116,2,73,151
I,1995,235,5,278,104
J,1662,526,14,271,210
K,851,267,5,132,70
L,1146,87,5,146,197
M,627,67,3,58,216
N,601,42,0,69,125
O,4254,516,1,364,579
P,6791,747,78,580,944
Q,15070,1335,59,1078,2774
R,1942,186,0,232,490
S,592,121,5,56,166
T,416,23,4,81,42
U,1365,36,2,138,362
V,2930,492,21,306,412
