"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",286,36,149,23,649
"BRAC",342,28,256,40,1061
"North Texas RAC",290,5,132,10,890
"Big Country RAC",260,4,99,16,585
"North Central Texas RAC",1737,174,2214,561,13466
"Northeast Texas RAC",430,38,98,24,575
"Piney Woods RAC",846,50,305,62,1867
"Deep East Texas RAC",149,17,129,28,387
"Far West Texas & Southern New Mexico RAC",346,69,296,162,1579
"Texas ""J"" RAC",666,36,291,27,856
"Concho Valley RAC",333,17,154,1,346
"Central Texas RAC",123,17,116,49,913
"Central Texas RAC",138,10,71,17,453
"Brazos Valley RAC",85,4,82,33,371
"Capital Area Trauma RAC",847,92,359,188,3490
"Southwest Texas RAC",857,103,842,232,4870
"Southeast Texas Trauma RAC",1864,142,1514,969,12434
"East Texas Gulf Coast RAC",338,19,340,129,1491
"Golden Crescent RAC",289,21,63,20,291
"Seven Flags RAC",98,18,86,16,346
"Coastal Bend RAC",583,26,192,76,1021
"Lower Rio Grande Valley RAC",925,92,431,183,2213
