TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,983,268,19,153,30
B,1571,382,28,231,43
C,1226,296,7,110,9
D,914,243,6,100,13
E,15956,1951,221,2259,438
F,1061,389,43,95,23
G,2830,747,38,266,80
H,568,100,8,130,19
I,2069,346,32,262,89
J,1668,683,41,291,32
K,882,371,27,106,11
L,1069,115,11,107,38
M,593,131,9,65,19
N,566,57,3,62,24
O,4387,643,58,361,103
P,6219,695,85,774,186
Q,14015,1717,153,1525,643
R,1718,225,13,252,76
S,606,209,12,58,50
T,418,39,4,72,14
U,1699,625,42,206,44
V,2975,754,79,436,145
