TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,989,255,7,144,47
B,1537,296,20,210,93
C,1229,304,3,105,31
D,924,221,7,88,32
E,16234,1487,131,2108,1079
F,1027,347,32,68,62
G,2916,783,46,238,166
H,586,162,14,111,33
I,2039,309,30,273,61
J,1756,660,29,251,55
K,882,362,14,82,21
L,1078,86,5,98,122
M,651,135,8,57,53
N,576,88,0,68,54
O,4525,633,51,346,284
P,6497,707,59,763,459
Q,14382,1454,73,1459,1080
R,1711,218,15,259,163
S,581,185,7,49,42
T,471,45,5,79,35
U,1666,538,34,181,104
V,3134,721,57,395,244
