TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1063,224,14,107,165
B,1493,206,9,236,265
C,1222,240,2,112,115
D,938,182,2,77,167
E,16508,1100,71,1821,3324
F,847,139,3,59,188
G,2757,522,9,162,729
H,553,98,4,74,168
I,2039,259,23,259,128
J,1688,497,20,229,304
K,865,324,13,92,77
L,1231,79,2,113,293
M,633,60,0,36,184
N,574,37,0,65,159
O,4331,488,10,321,734
P,6835,767,64,556,1305
Q,15389,1528,67,1116,3386
R,1838,205,0,254,600
S,544,83,3,42,185
T,461,5,0,67,88
U,1441,121,0,129,520
V,2763,359,9,249,651
