TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,958,262,6,148,23
B,1547,414,39,261,18
C,1224,276,2,99,8
D,863,261,10,104,11
E,15437,2056,241,2247,420
F,1027,389,36,81,36
G,2922,845,46,241,58
H,602,235,19,112,10
I,2014,361,32,245,45
J,1783,730,36,267,12
K,878,378,27,94,5
L,1090,125,10,103,36
M,682,162,17,62,15
N,565,132,3,79,35
O,4641,738,60,364,80
P,6313,830,71,806,170
Q,14147,1854,182,1624,432
R,1648,256,32,244,70
S,599,217,19,55,19
T,463,40,0,72,15
U,1767,630,53,194,41
V,3081,752,52,390,98
