"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",296,16,149,25,563
"BRAC",374,38,238,30,1027
"North Texas RAC",299,5,103,16,876
"Big Country RAC",222,5,106,18,558
"North Central Texas RAC",1836,219,2241,509,13066
"Northeast Texas RAC",377,45,96,28,539
"Piney Woods RAC",850,43,292,102,1844
"Deep East Texas RAC",133,12,127,22,360
"Far West Texas & Southern New Mexico RAC",344,48,274,138,1587
"Texas ""J"" RAC",630,30,263,35,864
"Concho Valley RAC",340,19,116,5,334
"Central Texas RAC",104,10,111,35,888
"Central Texas RAC",136,15,69,16,430
"Brazos Valley RAC",62,4,64,33,350
"Capital Area Trauma RAC",542,42,354,136,3425
"Southwest Texas RAC",730,89,811,234,4879
"Southeast Texas Trauma RAC",1619,123,1570,787,12125
"East Texas Gulf Coast RAC",312,18,267,110,1489
"Golden Crescent RAC",221,19,64,39,293
"Seven Flags RAC",45,2,89,14,327
"Coastal Bend RAC",668,19,187,50,987
"Lower Rio Grande Valley RAC",749,63,411,206,2204
