TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1053,236,15,108,165
B,1423,239,6,153,281
C,1175,216,3,111,133
D,968,198,2,82,182
E,16394,1084,63,1680,3607
F,874,121,3,65,228
G,2769,477,9,114,805
H,527,151,4,83,166
I,2073,244,8,261,127
J,1775,512,13,261,262
K,869,318,8,95,69
L,1193,85,7,143,204
M,624,38,0,54,213
N,583,28,0,71,146
O,4259,494,7,369,639
P,6733,667,53,601,1226
Q,15528,1575,199,1115,3290
R,1970,173,1,272,539
S,602,129,6,62,179
T,482,17,2,78,58
U,1345,37,0,123,395
V,2958,491,23,270,508
