"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1079,374,40,141,79
"B",1504,380,23,273,99
"C",1244,397,10,153,36
"D",924,240,4,97,53
"E",15863,1729,107,2032,2122
"F",1054,383,9,82,121
"G",2933,814,29,322,307
"H",596,151,15,95,70
"I",2253,475,68,329,389
"J",1747,634,34,229,95
"K",860,294,18,153,31
"L",1101,129,22,92,101
"M",588,92,2,57,83
"N",576,72,1,72,62
"O",4207,691,61,345,427
"P",6555,1073,143,714,846
"Q",13134,1639,97,1319,1607
"R",1965,368,9,283,270
"S",626,236,19,56,90
"T",345,51,17,70,105
"U",1709,580,20,169,163
"V",3337,849,48,341,453
