"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",302,31,139,44,670
"BRAC",428,48,273,33,1001
"North Texas RAC",356,16,125,14,826
"Big Country RAC",265,12,108,16,567
"North Central Texas RAC",2004,223,2221,716,12864
"Northeast Texas RAC",420,27,93,24,544
"Piney Woods RAC",862,59,342,86,1842
"Deep East Texas RAC",175,14,105,33,375
"Far West Texas & Southern New Mexico RAC",408,70,294,199,1462
"Texas ""J"" RAC",636,33,292,36,853
"Concho Valley RAC",344,21,159,8,330
"Central Texas RAC",112,9,118,42,913
"Central Texas RAC",119,8,67,25,457
"Brazos Valley RAC",62,5,72,37,435
"Capital Area Trauma RAC",821,98,348,209,3372
"Southwest Texas RAC",1013,98,823,251,4760
"Southeast Texas Trauma RAC",1696,104,1380,1184,11745
"East Texas Gulf Coast RAC",289,13,310,197,1565
"Golden Crescent RAC",330,22,73,23,252
"Seven Flags RAC",89,12,92,19,331
"Coastal Bend RAC",592,31,195,80,1016
"Lower Rio Grande Valley RAC",957,126,435,185,2152
