TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,951,277,17,147,26
B,1520,405,39,252,30
C,1219,289,5,102,14
D,844,239,10,98,18
E,14711,1940,200,2206,536
F,1024,401,42,91,18
G,2981,912,51,268,95
H,535,139,7,117,23
I,2067,407,44,255,124
J,1691,659,24,266,42
K,886,385,21,124,5
L,1073,150,20,114,36
M,669,180,10,79,20
N,536,80,7,73,24
O,4132,639,60,376,127
P,6273,896,125,797,231
Q,13917,2072,163,3036,749
R,1783,325,24,247,88
S,625,264,12,64,50
T,448,49,8,89,15
U,1710,661,25,184,52
V,3021,856,80,407,185
