"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",312,27,133,42,639
"BRAC",383,32,273,41,999
"North Texas RAC",382,14,130,14,780
"Big Country RAC",292,8,114,15,514
"North Central Texas RAC",2169,231,2373,846,12177
"Northeast Texas RAC",437,22,96,28,580
"Piney Woods RAC",1053,57,342,117,1709
"Deep East Texas RAC",234,14,98,36,231
"Far West Texas & Southern New Mexico RAC",404,57,308,248,1525
"Texas ""J"" RAC",626,30,281,45,854
"Concho Valley RAC",361,20,151,9,307
"Central Texas RAC",153,15,117,44,792
"Central Texas RAC",161,9,59,31,395
"Brazos Valley RAC",102,2,73,41,356
"Capital Area Trauma RAC",698,69,347,232,3351
"Southwest Texas RAC",1284,177,800,317,4546
"Southeast Texas Trauma RAC",1931,168,1424,1273,10946
"East Texas Gulf Coast RAC",312,11,326,211,1160
"Golden Crescent RAC",302,30,73,27,243
"Seven Flags RAC",97,17,96,21,303
"Coastal Bend RAC",565,38,184,93,1027
"Lower Rio Grande Valley RAC",976,162,445,249,2144
