"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",368,29,149,23,613
"BRAC",349,43,271,37,1017
"North Texas RAC",309,13,132,7,855
"Big Country RAC",266,4,98,12,548
"North Central Texas RAC",1940,218,2235,536,12704
"Northeast Texas RAC",411,36,93,26,563
"Piney Woods RAC",820,52,308,69,1833
"Deep East Texas RAC",176,10,105,28,357
"Far West Texas & Southern New Mexico RAC",383,66,295,158,1472
"Texas ""J"" RAC",635,24,294,32,805
"Concho Valley RAC",363,27,152,3,306
"Central Texas RAC",154,14,113,51,871
"Central Texas RAC",135,8,71,28,446
"Brazos Valley RAC",92,4,80,35,344
"Capital Area Trauma RAC",810,76,350,178,3405
"Southwest Texas RAC",857,88,852,245,4718
"Southeast Texas Trauma RAC",1779,103,1491,922,11887
"East Texas Gulf Coast RAC",337,15,326,130,1389
"Golden Crescent RAC",275,12,64,26,282
"Seven Flags RAC",105,19,91,6,329
"Coastal Bend RAC",535,47,198,74,1034
"Lower Rio Grande Valley RAC",984,99,442,196,2091
