TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,909,247,11,122,141
B,1412,253,9,188,255
C,1216,267,2,102,63
D,858,190,0,81,130
E,15541,1352,78,1909,2853
F,828,141,1,105,179
G,2655,552,17,169,551
H,502,109,2,76,125
I,1955,296,28,256,105
J,1677,560,25,250,241
K,867,363,13,92,73
L,1052,87,7,92,235
M,609,79,0,37,167
N,514,39,0,71,131
O,4047,438,3,327,679
P,6730,538,50,623,1345
Q,14365,1529,44,1273,3088
R,1827,123,6,224,533
S,578,116,4,43,152
T,429,19,0,55,89
U,1488,122,0,112,456
V,2723,383,14,310,636
