TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1057,228,16,114,162
B,1520,288,8,161,189
C,1217,288,8,85,97
D,952,236,2,69,98
E,16274,1501,71,1926,2333
F,877,145,11,76,154
G,2739,560,13,248,495
H,550,126,5,86,105
I,1907,221,4,291,107
J,1688,524,13,289,173
K,850,326,14,125,45
L,1152,102,12,154,139
M,671,98,2,61,129
N,586,53,0,77,84
O,4367,674,43,416,358
P,7058,1404,97,754,653
Q,14798,1675,98,1320,1746
R,1755,213,2,248,255
S,622,218,8,58,97
T,438,38,8,82,21
U,1321,114,26,158,236
V,2804,571,25,352,264
