"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",306,19,136,45,620
"BRAC",399,43,275,41,982
"North Texas RAC",360,16,131,12,809
"Big Country RAC",265,3,108,21,589
"North Central Texas RAC",2191,211,2235,690,12108
"Northeast Texas RAC",437,27,90,26,552
"Piney Woods RAC",1046,44,340,83,1743
"Deep East Texas RAC",206,7,111,30,346
"Far West Texas & Southern New Mexico RAC",421,68,310,226,1489
"Texas ""J"" RAC",663,27,285,38,866
"Concho Valley RAC",364,21,159,6,301
"Central Texas RAC",150,14,124,44,842
"Central Texas RAC",150,6,67,27,430
"Brazos Valley RAC",94,2,73,35,388
"Capital Area Trauma RAC",816,101,349,207,3267
"Southwest Texas RAC",1159,142,816,265,4684
"Southeast Texas Trauma RAC",2023,128,1414,1128,11165
"East Texas Gulf Coast RAC",310,21,298,190,1440
"Golden Crescent RAC",313,20,70,28,256
"Seven Flags RAC",97,18,92,24,310
"Coastal Bend RAC",573,30,190,79,1024
"Lower Rio Grande Valley RAC",947,99,450,201,2026
