TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,957,264,6,156,21
B,1574,363,35,263,18
C,1194,245,3,104,5
D,933,243,8,100,12
E,16060,1704,204,2169,319
F,1046,340,36,85,38
G,2879,754,56,283,55
H,558,95,12,117,15
I,2118,366,51,245,45
J,1748,690,33,279,13
K,861,319,15,93,7
L,1128,125,16,97,23
M,654,131,8,60,13
N,579,84,9,65,29
O,4501,620,49,358,91
P,6367,686,89,805,157
Q,14966,1568,117,1504,485
R,1793,219,16,275,63
S,608,200,17,61,23
T,453,32,2,68,16
U,1702,580,54,170,41
V,3076,726,53,422,111
