TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1041,229,14,107,163
B,1447,206,9,235,265
C,1194,217,6,112,109
D,889,189,1,83,158
E,15709,1359,76,1989,3293
F,877,158,5,57,186
G,2692,535,11,206,732
H,529,117,6,61,167
I,1989,287,20,252,117
J,1690,519,19,278,289
K,867,343,11,128,78
L,1134,90,1,110,294
M,624,71,0,35,192
N,551,29,0,61,170
O,4257,459,2,327,745
P,6806,851,94,575,1304
Q,14636,1475,72,945,3423
R,1795,155,1,307,627
S,582,130,3,44,176
T,433,5,1,65,84
U,1534,105,1,123,556
V,2829,408,9,245,640
