TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1083,255,15,113,171
B,1440,238,8,189,233
C,1187,230,5,109,130
D,959,205,2,85,139
E,16597,1247,57,1783,3233
F,889,118,4,81,189
G,2830,513,9,163,738
H,570,106,4,80,147
I,2059,215,3,285,113
J,1684,532,11,273,216
K,865,291,4,126,71
L,1129,89,1,171,242
M,622,61,2,58,215
N,588,37,2,74,117
O,4427,537,4,373,559
P,6716,656,75,632,915
Q,15361,1437,81,1136,2801
R,1791,142,0,225,425
S,608,131,11,55,143
T,432,10,4,74,44
U,1362,38,0,149,320
V,2890,534,26,329,393
