TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,953,271,10,155,22
B,1587,344,23,246,27
C,1229,286,7,103,7
D,932,243,6,101,14
E,16076,1725,205,2201,381
F,1049,347,34,86,27
G,2895,749,60,249,63
H,589,134,12,120,22
I,2071,341,39,248,83
J,1754,664,22,299,27
K,835,338,27,109,10
L,1084,125,15,107,20
M,633,132,5,57,20
N,601,89,10,68,26
O,4441,629,63,367,101
P,6381,688,85,804,161
Q,14420,1654,123,1510,546
R,1690,238,26,264,62
S,630,226,17,55,40
T,441,52,4,70,15
U,1789,741,58,191,38
V,3012,731,53,437,116
