TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,976,257,9,152,19
B,1587,386,30,247,20
C,1226,259,6,100,7
D,911,262,15,108,15
E,16323,1805,215,2126,384
F,1033,357,28,77,32
G,2848,723,38,218,64
H,596,133,15,122,7
I,2072,323,30,251,49
J,1731,680,25,263,12
K,869,329,23,106,3
L,1096,90,11,104,32
M,675,135,14,62,11
N,553,70,0,75,30
O,4716,702,41,359,61
P,6356,749,89,815,145
Q,14620,1726,142,1553,385
R,1802,221,15,253,58
S,615,206,20,57,23
T,482,34,0,66,19
U,1662,517,37,190,34
V,3171,755,49,405,92
