TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1073,249,19,115,163
B,1467,259,5,165,223
C,1195,283,5,88,96
D,957,237,0,72,106
E,16275,1190,71,1761,2649
F,866,120,2,70,156
G,2734,540,13,225,601
H,645,153,5,80,134
I,1998,213,3,285,110
J,1701,549,17,284,195
K,844,305,9,132,61
L,1105,114,9,145,178
M,622,51,0,64,147
N,597,32,0,80,110
O,4324,624,20,404,438
P,6624,747,97,715,791
Q,15372,1474,65,1182,2140
R,1947,255,7,277,315
S,588,146,11,58,119
T,451,17,5,84,43
U,1267,34,3,164,260
V,2861,642,47,352,288
