"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1196,362,7,131,160,674
"B",1533,270,18,183,219,1044
"C",1226,346,9,97,57,823
"D",990,282,0,83,38,670
"E",14664,1719,227,1772,1177,11768
"F",1104,393,23,78,91,620
"G",2884,687,26,299,212,1985
"H",603,134,10,107,41,428
"I",2096,303,8,263,438,1355
"J",1744,649,38,216,111,984
"K",580,193,18,74,31,356
"L",1236,295,32,115,39,902
"M",642,120,8,56,69,453
"N",648,128,2,55,35,485
"O",4290,726,45,529,99,3465
"P",6317,1148,174,813,223,4946
"Q",15519,1780,143,1529,623,13116
"R",1926,204,7,244,146,1576
"S",565,153,33,70,42,370
"T",469,50,11,66,56,363
"U",1657,548,47,237,93,1016
"V",3502,970,73,389,263,2269
