"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",278,19,149,23,601
"BRAC",381,43,271,36,951
"North Texas RAC",325,13,132,9,830
"Big Country RAC",254,4,100,13,513
"North Central Texas RAC",1992,220,2327,526,12242
"Northeast Texas RAC",446,44,99,27,546
"Piney Woods RAC",881,63,312,69,1800
"Deep East Texas RAC",224,16,116,31,333
"Far West Texas & Southern New Mexico RAC",386,64,302,160,1425
"Texas ""J"" RAC",662,26,292,31,780
"Concho Valley RAC",363,27,152,3,306
"Central Texas RAC",157,14,114,50,860
"Central Texas RAC",130,9,69,25,443
"Brazos Valley RAC",95,4,81,33,344
"Capital Area Trauma RAC",855,88,349,178,3243
"Southwest Texas RAC",865,100,812,237,4517
"Southeast Texas Trauma RAC",1867,115,1560,959,11265
"East Texas Gulf Coast RAC",332,17,307,135,1395
"Golden Crescent RAC",290,13,65,27,268
"Seven Flags RAC",105,20,93,6,307
"Coastal Bend RAC",664,30,192,62,981
"Lower Rio Grande Valley RAC",973,130,447,183,2080
