TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,937,265,10,153,18
B,1551,376,23,253,23
C,1209,261,3,100,11
D,893,262,9,106,11
E,15747,2079,242,2168,356
F,1028,391,46,82,34
G,2867,851,42,239,53
H,605,185,19,118,11
I,2020,345,33,240,43
J,1708,696,27,261,14
K,877,372,29,102,3
L,1113,138,16,98,34
M,622,187,10,69,10
N,568,103,7,78,32
O,4428,712,68,362,64
P,6230,844,95,795,163
Q,14080,1823,135,1515,376
R,1674,241,18,242,58
S,610,253,28,58,21
T,432,36,0,65,21
U,1719,623,48,197,35
V,2994,815,44,406,87
