TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1029,264,16,102,165
B,1371,219,13,177,284
C,1184,243,2,117,122
D,929,213,1,72,177
E,16025,1163,63,1722,3613
F,850,110,1,49,201
G,2812,515,10,130,819
H,519,94,2,68,171
I,1985,218,11,258,114
J,1775,526,13,256,278
K,868,333,11,102,77
L,1093,99,5,142,241
M,634,73,0,49,203
N,597,36,0,70,152
O,4266,491,0,359,660
P,6664,674,84,607,1233
Q,15118,1438,76,1286,3372
R,1874,202,0,226,582
S,591,111,5,52,179
T,440,16,1,81,68
U,1333,23,0,112,460
V,2805,432,23,263,561
