TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,955,255,10,152,18
B,1558,387,26,239,22
C,1215,261,3,100,11
D,932,260,10,107,13
E,16103,1884,199,2143,381
F,1036,373,35,80,28
G,2883,772,31,216,59
H,598,152,11,114,10
I,2063,334,28,252,48
J,1727,705,22,259,13
K,868,336,28,104,2
L,1128,113,11,98,30
M,670,155,9,64,11
N,567,80,0,77,32
O,4484,653,45,356,66
P,6365,769,84,806,153
Q,14338,1619,114,1436,397
R,1713,177,15,270,58
S,609,224,22,56,21
T,448,32,0,63,20
U,1665,534,31,192,40
V,3059,764,48,402,94
