TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,977,233,11,129,128
B,1465,232,12,206,215
C,1206,237,1,100,77
D,917,213,4,78,116
E,16174,1194,86,1921,2700
F,858,113,1,116,177
G,2703,525,14,168,483
H,530,103,0,70,115
I,2115,280,32,287,87
J,1645,545,17,248,214
K,881,353,15,99,50
L,1072,75,1,88,224
M,643,111,3,58,134
N,559,31,0,66,140
O,4224,439,7,280,670
P,6754,468,46,679,1227
Q,14857,1326,53,1342,2708
R,1788,140,2,217,527
S,578,95,7,54,146
T,474,4,0,58,92
U,1383,115,0,127,391
V,2879,355,11,317,640
