"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1155,261,10,146,353
"B",1515,273,13,194,396
"C",1222,311,18,115,107
"D",934,243,2,72,153
"E",15651,1516,76,1812,2674
"F",1080,371,9,72,147
"G",3086,871,25,224,440
"H",516,191,10,80,99
"I",2360,510,65,331,559
"J",1735,567,49,235,247
"K",836,313,18,91,85
"L",1203,298,27,112,140
"M",583,91,1,80,119
"N",610,154,8,58,71
"O",4302,769,43,531,345
"P",6482,975,103,690,831
"Q",14539,2208,149,1537,1578
"R",1709,246,12,195,246
"S",460,227,9,64,68
"T",450,28,4,67,138
"U",1576,512,34,190,147
"V",3587,1191,97,415,361
