TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,974,232,4,151,25
B,1555,349,30,230,24
C,1206,282,8,99,11
D,962,236,5,107,7
E,16265,1725,213,2263,498
F,1042,395,42,74,34
G,2823,682,45,228,76
H,604,170,13,112,17
I,2092,316,31,250,48
J,1818,736,35,277,20
K,869,350,19,94,7
L,1123,127,13,93,37
M,671,138,16,64,22
N,578,84,9,79,28
O,4726,644,38,354,101
P,7246,733,96,809,180
Q,14379,1667,131,1415,478
R,1343,187,26,212,70
S,595,178,11,55,19
T,477,34,1,85,19
U,1667,537,31,193,58
V,2965,708,53,398,109
