TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,987,241,17,131,101
B,1420,256,16,231,162
C,1190,257,2,105,51
D,876,208,4,88,96
E,16107,1282,110,1988,2089
F,926,169,14,111,145
G,2715,564,30,179,373
H,548,119,6,95,76
I,2054,281,28,265,73
J,1715,600,23,250,127
K,881,349,15,99,53
L,1122,76,4,90,228
M,639,105,12,82,123
N,593,71,5,85,91
O,4593,499,6,313,574
P,6586,569,64,695,993
Q,14804,1365,41,1364,2207
R,1796,181,7,205,366
S,559,107,7,48,121
T,417,2,0,71,60
U,1419,223,4,180,293
V,3015,569,24,316,490
