"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",286,28,128,45,635
"BRAC",382,16,262,63,1020
"North Texas RAC",512,10,139,25,818
"Big Country RAC",262,1,113,25,552
"North Central Texas RAC",2120,211,2110,1060,12578
"Northeast Texas RAC",444,34,97,41,530
"Piney Woods RAC",800,46,347,152,1908
"Deep East Texas RAC",205,9,100,48,337
"Far West Texas & Southern New Mexico RAC",362,51,306,250,1533
"Texas ""J"" RAC",580,36,263,51,867
"Concho Valley RAC",340,19,155,16,311
"Central Texas RAC",117,16,102,72,845
"Central Texas RAC",158,17,74,41,394
"Brazos Valley RAC",106,3,72,41,367
"Capital Area Trauma RAC",653,58,354,259,3492
"Southwest Texas RAC",1022,102,785,385,4616
"Southeast Texas Trauma RAC",1744,100,1344,1114,9579
"East Texas Gulf Coast RAC",325,19,268,205,1392
"Golden Crescent RAC",269,23,66,43,281
"Seven Flags RAC",117,17,90,32,323
"Coastal Bend RAC",595,41,172,106,1055
"Lower Rio Grande Valley RAC",1011,122,453,255,2031
