"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1207,374,14,135,170,663
"B",1552,288,15,184,220,1044
"C",1252,352,8,97,64,836
"D",1005,269,3,83,48,688
"E",14788,1690,254,2131,1186,11912
"F",1090,379,17,79,87,624
"G",2859,691,17,302,213,1955
"H",668,198,11,96,48,422
"I",2173,368,8,293,405,1400
"J",1743,625,32,216,113,1005
"K",572,190,15,74,36,346
"L",1191,271,24,120,37,883
"M",646,109,4,53,71,466
"N",638,126,4,56,37,475
"O",4274,711,49,526,99,3464
"P",6374,1211,155,818,255,4908
"Q",14687,1603,173,1415,591,12493
"R",1964,235,8,245,138,1591
"S",557,147,31,71,32,378
"T",479,75,23,66,59,345
"U",1660,537,43,239,88,1035
"V",3521,1032,71,389,251,2238
