"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1087,332,40,132,62
"B",1506,399,19,275,75
"C",1236,311,6,139,55
"D",957,229,2,97,45
"E",16031,1704,113,2018,1813
"F",1064,373,14,93,95
"G",2994,729,26,357,258
"H",626,116,8,95,69
"I",2180,398,55,301,360
"J",1695,601,26,237,82
"K",840,341,15,135,18
"L",1128,127,18,107,101
"M",625,91,7,64,68
"N",581,70,2,79,64
"O",4394,627,50,346,413
"P",6446,852,95,743,752
"Q",14578,1703,96,1315,1773
"R",1960,302,11,301,232
"S",635,241,22,61,73
"T",490,87,10,85,76
"U",1757,569,37,167,150
"V",3518,1023,174,456,380
