"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",306,29,129,44,612
"BRAC",356,17,260,66,1014
"North Texas RAC",520,9,126,21,793
"Big Country RAC",263,1,113,21,529
"North Central Texas RAC",2223,212,2136,1041,12584
"Northeast Texas RAC",437,35,93,44,545
"Piney Woods RAC",801,42,356,139,1916
"Deep East Texas RAC",179,12,96,48,358
"Far West Texas & Southern New Mexico RAC",369,49,298,252,1541
"Texas ""J"" RAC",589,28,264,50,893
"Concho Valley RAC",329,20,155,14,331
"Central Texas RAC",111,14,103,57,869
"Central Texas RAC",135,11,68,45,450
"Brazos Valley RAC",83,3,72,43,359
"Capital Area Trauma RAC",688,63,351,258,3484
"Southwest Texas RAC",1067,98,727,376,4704
"Southeast Texas Trauma RAC",1780,111,1467,1520,11534
"East Texas Gulf Coast RAC",294,15,309,223,1470
"Golden Crescent RAC",277,27,68,43,292
"Seven Flags RAC",112,22,93,31,303
"Coastal Bend RAC",555,39,173,109,1046
"Lower Rio Grande Valley RAC",1057,191,441,257,2116
