TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1049,257,18,114,171
B,1427,242,12,193,237
C,1181,245,2,112,125
D,943,217,0,84,158
E,16317,1321,66,1810,3264
F,869,114,2,82,207
G,2801,517,9,157,738
H,584,139,5,80,145
I,2016,248,7,287,113
J,1617,516,13,259,231
K,863,319,8,134,73
L,1129,85,5,128,183
M,622,67,2,58,220
N,587,39,0,71,117
O,4244,530,5,363,579
P,6689,801,76,652,917
Q,15037,1614,78,1125,2774
R,1879,207,8,333,464
S,598,141,8,57,154
T,408,11,7,77,48
U,1313,39,0,153,349
V,2863,559,26,322,391
